,date,vendor,amount,category,notes
0,2022-07-01,Tier,"2,10",21,
1,2022-07-01,KSupermarket,"10,68",1,
2,2022-07-01,KSupermarket,"6,75",1,
3,2022-07-01,Verkkokauppa.com,"119,90",5,
4,2022-07-04,Patreon,"22,32",subscriptions (non-essential),
5,2022-07-04,Joescooter,"5,00",21,
6,2022-07-04,KMarket,"4,62",1,
7,2022-07-04,All Things Live,"1,00",7,
8,2022-07-04,All Things Live,"12,00",7,
9,2022-07-04,All Things Live,"10,00",7,
10,2022-07-04,KMarket,"1,64",1,
11,2022-07-04,KMarket,"5,58",1,
12,2022-07-04,All Things Live,"12,00",7,
13,2022-07-04,Tier,"1,88",21,
14,2022-07-04,Bird,"3,80",21,
15,2022-07-04,Bird,"1,95",21,
16,2022-07-04,All Things Live,"5,00",7,
17,2022-07-04,All Things Live,"12,00",7,
18,2022-07-05,Tier,"4,52",21,
19,2022-07-05,Burger King,"16,90",7,
20,2022-07-05,KSupermarket,"8,56",1,
21,2022-07-05,HSL,"2,80",9,
22,2022-07-05,HSL,"2,80",9,
23,2022-07-06,Lothian,"5,37",9,
24,2022-07-06,HMV,"107,70",vinyl,
25,2022-07-06,Museum of Edinburgh,"13,29",1,
26,2022-07-06,Museum of Edinburgh,"3,64",1,
27,2022-07-06,Museum of Edinburgh,"5,90",1,
28,2022-07-06,Sainsburys,"5,67",1,
29,2022-07-06,Sainsburys,"3,64",1,
30,2022-07-06,Miller & Carter,"71,74",7,
31,2022-07-06,Castle & Crown,"4,76",11,
32,2022-07-07,Starbucks,"4,86",7,
33,2022-07-07,Next,"40,92",3,
34,2022-07-07,Tartan House of Sco,"17,10",11,
35,2022-07-07,Sainsburys,"3,24",1,
36,2022-07-07,Coscutter,"6,90",1,
37,2022-07-08,GaoTheArsonist,"36,59",3,
38,2022-07-08,Hollister,"52,31",3,
39,2022-07-08,Primark,"19,79",3,
40,2022-07-08,Stagecoach,"1,94",9,
41,2022-07-08,Stagecoach,"1,94",9,
42,2022-07-08,Bread Meets Bread,"54,05",7,
43,2022-07-08,Coscutter,"1,80",1,
44,2022-07-08,Coscutter,"2,39",1,
45,2022-07-09,Mohammed Hussein Alkhafaji,"1 450,00",5,
46,2022-07-11,Subway,"7,88",7,
47,2022-07-11,Costa,"11,95",1,
48,2022-07-11,Lothian,"5,46",9,
49,2022-07-11,Bird,"1,95",21,
50,2022-07-11,HSL,"4,10",9,
51,2022-07-11,HSL,"2,80",9,
52,2022-07-11,HSL,"4,10",9,
53,2022-07-11,HSL,"4,10",9,
54,2022-07-11,HSL,"4,10",9,
55,2022-07-11,HSL,"4,10",9,
56,2022-07-11,HSL,"4,10",9,
57,2022-07-11,HSL,"2,80",9,
58,2022-07-11,Calvin Klein,"25,90",3,
59,2022-07-11,Isabel de Silva,"80,00",18,
60,2022-07-11,Ikea,"91,34",22,
61,2022-07-11,Ikea,"28,00",22,
62,2022-07-11,Dustin Home,"46,29",5,
63,2022-07-12,KSupermarket,"2,00",13,
64,2022-07-14,Gigantti,"399,00",5,
65,2022-07-15,OSUUSPANKKI,"4,50",subscriptions (non-essential),
66,2022-07-15,Amazon,"47,93",5,
67,2022-07-18,Makerfire,"29,68",5,
68,2022-07-18,Steam,"3,74",13,
69,2022-07-18,KSupermarket,"18,61",1,
70,2022-07-18,Tekant,"67,79",19,
71,2022-07-19,Kellyhouse,"12,40",18,
72,2022-07-19,Niko Kaarlela,"166,67",22,
73,2022-07-20,Linnea Melch,"12,34",18,
74,2022-07-20,Clas Ohlson,"10,79",22,
75,2022-07-19,Amazon,"36,89",11,Ron weasly + earbud tips
76,2022-07-25,Motonet,"28,70",11,
77,2022-07-26,Kanavan Kevari,"10,00",19,
78,2022-07-27,Fennia,"111,33",subscription (gym etc),
79,2022-07-28,K-Citymarket Turtola,"133,82",1,
80,2022-07-29,Isabel de Silva,"60,00",18,
81,2022-07-29,Verkkokauppa.com,"379,70",5,
82,2022-08-01,Paytrail,"35,35",18,Need to figure out
83,2022-08-01,Ikea,"0,79",1,
84,2022-08-01,K-Citymarket Pirkkala,"28,43",1,
85,2022-08-01,Kanavan Kevari,"10,00",19,
86,2022-08-01,Rent,"184,20",4,
87,2022-08-02,Tier,"5,84",21,
88,2022-08-02,Patreon,"22,32",subscriptions (non-essential),
89,2022-08-02,Apteekki,"5,76",1,
90,2022-08-02,Vr,"17,00",9,
91,2022-08-02,R-Kioski,"6,00",7,
92,2022-08-03,Kreate stock,"295,40",investements,
93,2022-08-03,Opiskelijakortin tilaus,"10,00",18,
94,2022-08-03,Isabel de Silva,"124,53",17,
95,2022-08-03,Pupukahvila,"13,40",7,
96,2022-08-03,Verohallinta,"296,82",17,
97,2022-08-03,K-Supermarket Nekala,"12,91",1,
98,2022-08-04,Prisma Pirkkala,"34,53",1,
99,2022-08-04,K-Citymarket Pirkkala,"20,13",1,
100,2022-08-04,Motonet,"31,95",19,
101,2022-08-04,Motonet,"0,38",19,
102,2022-08-05,Kreate stock,"92,42",investements,
103,2022-08-05,Vr,"27,20",9,
104,2022-08-05,K-Citymarket Pirkkala,"20,13",1,
105,2022-08-05,Prisma Pirkkala,"34,53",1,
106,2022-08-05,Kotipizza,"17,90",7,
107,2022-08-05,Muovi ja Lelu,"27,55",22,
108,2022-08-05,Sokos,"57,50",11,Hajuvesi
109,2022-08-07,Isabel de Silva,"299,00",18,
110,2022-08-07,K-Citymarket Turtola,"33,95",1,
111,2022-08-07,Gigantti,"9,95",22,
112,2022-08-07,Puuilo,"5,98",19,
113,2022-08-08,Caverion stock,"300,00",investements,
114,2022-08-10,Verkkokauppa.com,"50,00",22,
115,2022-08-10,DNA,"84,00",22,Modeemi
116,2022-08-10,F-Musiikki,"11,90",5,
117,2022-08-10,Biltema,"3,90",22,
118,2022-08-11,K-Supermarket Nekala,"3,15",1,
119,2022-08-12,Steakhouse Skyline,"4,90",7,
120,2022-08-12,Dekolust,"8,01",22,
121,2022-08-12,Takeaway Tea,"8,37",7,
122,2022-08-12,Lautapelit,"26,90",11,
123,2022-08-12,Steakhouse Skyline,"36,20",7,
124,2022-08-12,Superdry,"45,00",3,
125,2022-08-12,Dressman,"60,00",3,
126,2022-08-13,Kuntonyrkkeily,"165,00",subscription (gym etc),
127,2022-08-13,Pupukahvila,"7,00",7,
128,2022-08-15,Sportuni,"84,00",subscription (gym etc),
129,2022-08-15,Nysse,"4,00",9,
130,2022-08-15,Nella,"5,00",9,
131,2022-08-16,Tier,"3,20",21,
132,2022-08-16,Brothers parturi,"37,00",19,
133,2022-08-16,Nysse,"4,00",9,
134,2022-08-16,Verkkokauppa.com,"72,95",5,
135,2022-08-17,K-Supermarket Nekala,"2,99",1,
136,2022-08-17,Kouluruoka,"2,70",2,
137,2022-08-18,Tier,"2,10",21,
138,2022-08-18,XXL,"10,00",19,
139,2022-08-18,Prisma Koivistonkylä,"12,77",5,
140,2022-08-18,Prisma Kaleva,"2,95",1,
141,2022-08-22,Kouluruoka,"2,70",2,
142,2022-08-22,K-Supermarket Nekala,"19,06",1,
143,2022-08-22,Prisma Koivistonkylä,"12,95",5,
144,2022-08-22,PiHut,"33,00",5,
145,2022-08-22,Isabel de Silva,"172,00",22,
146,2022-08-23,Kivenheitto,"9,00",7,
147,2022-08-24,Hesburger,"10,40",7,
148,2022-08-24,Kouluruoka,"2,90",2,
149,2022-08-24,S-Market Pendolino,"10,74",7,
150,2022-08-24,Luuppi,"37,00",19,
151,2022-08-24,Posti,"8,30",19,
152,2022-08-25,K-Market Tullintori,"3,24",7,
153,2022-08-25,Kouluruoka,"2,70",2,
154,2022-08-25,Kouluruoka,"3,30",2,
155,2022-08-25,Nysse,"2,00",9,
156,2022-08-26,K-Market Satakunta,"9,30",7,
157,2022-08-26,Nella,"10,00",9,
158,2022-08-26,Poro,"5,00",7,
159,2022-08-26,Haalarimerkit,"5,00",18,
160,2022-08-26,Sokos Herkku,"2,52",7,
161,2022-08-25,Poro,"4,00",7,
162,2022-08-26,Prisma Kaleva,"6,17",1,
163,2022-08-27,K-Supermarket Nekala,"31,67",1,
164,2022-08-27,Prisma Kaleva,"2,87",18,
165,2022-08-28,Siipiweikot,"31,15",7,
166,2022-08-28,Vapriikki,"14,00",7,
167,2022-08-28,K-Market Satakunta,"4,70",1,
168,2022-08-30,K-Market Vellamonka,"1,50",7,
169,2022-08-30,Nella,"20,00",9,
170,2022-08-31,Siipiweikot,"14,10",7,
171,2022-08-31,K-Market Puuvillate,"4,40",7,
172,2022-08-31,Kouluruoka,"2,70",2,
173,2022-09-01,Nysse,"2,00",9,
174,2022-09-01,Isabel de Silva,"184,20",4,
175,2022-09-02,Patreon,"22,32",subscriptions (non-essential),
176,2022-09-02,Ryde,"1,69",21,
177,2022-09-02,K-Market Tullintori,"3,26",7,
178,2022-09-02,Kouluruoka,"2,70",2,
179,2022-09-02,Old Mates,"5,50",7,
180,2022-09-02,Jerun Piilopaikka,"5,85",7,
181,2022-09-02,Jerun Piilopaikka,"1,80",7,
182,2022-09-05,Old Irish Pub,"3,50",7,
